dialog_id,title,turn_count,turn,author,text,N-gram labels,Cosine label,All labels,Intersection,Union (without disambiguities)
counsel_chat | 19,Can I change my feeling of being worthless to everyone?,2,2,listener,"Most of us need help to uncover the ""lie"" because you were born valuable!",,,,,
counsel_chat | 20,Can I change my feeling of being worthless to everyone?,2,1,speaker,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",,,,,
counsel_chat | 20,Can I change my feeling of being worthless to everyone?,2,2,listener,The feeling of being worthless is caused by your inside being not matching your outside result.,,,,,
counsel_chat | 20,Can I change my feeling of being worthless to everyone?,2,2,listener,Your comparison to others and you thinking you need to be someone other than who you are.,,,,,
counsel_chat | 20,Can I change my feeling of being worthless to everyone?,2,2,listener,You are not worthless.,,Support,['Support'],,Support
counsel_chat | 20,Can I change my feeling of being worthless to everyone?,2,2,listener,No one is worthless.,,,,,
counsel_chat | 20,Can I change my feeling of being worthless to everyone?,2,2,listener,You need to find your worth and not let yourself talk yourself out of the good you find in yourself.,,,,,
counsel_chat | 20,Can I change my feeling of being worthless to everyone?,2,2,listener,I hope these words resonate with you and that you start looking for your worth even if it’s as simple as I am able to get out of bed and call someone and make a joke.,['Advise without Permission'],,['Advise without Permission'],,Advise without Permission
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,1,speaker,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",,,,,
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,2,listener,"Hi there, I'm sorry you're feeling this way.",,Support,['Support'],,Support
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,2,listener,Let me see if I can guide you in the right direction.,['Give Information'],,['Give Information'],,Give Information
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,2,listener,Often when I talk to my clients about feelings of worthlessness we start with a little bit of self-exploration.,,,,,
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,2,listener,We start with noticing.,,,,,
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,2,listener,Start to notice when these feelings come up for you.,,,,,
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,2,listener,"Is there a particular time
of day, a specific person who brings it out, a phrase you hear?",,,,,
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,2,listener,"Just
start to notice.",,,,,
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,2,listener,Usually it's tied to something but it may take a while to figure out what that something/someone is.,,,,,
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,2,listener,Try to be patient.Next we start to explore.,,Advise without Permission,['Advise without Permission'],,Advise without Permission
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,2,listener,When did these feelings start?,,,,,
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,2,listener,Where do you think they come from?,,,,,
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,2,listener,Is there something - a statement - perhaps that repeats in your head over and over again?,['Give Information'],,['Give Information'],,Give Information
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,2,listener,"If so, whose voice is it?",,Closed Question,['Closed Question'],,Closed Question
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,2,listener,"These are difficult questions, and just a few of them, so take your time answering them.",,,,,
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,2,listener,(We usually do it over a few sessions.),,,,,
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,2,listener,It might even be helpful to write them down somewhere.,,,,,
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,2,listener,If you have a journal that would be a great place as research has shown that our brain works differently when we put pen to paper versus typing on a computer.,,,,,
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,2,listener,Now comes the good news.,,Give Information,['Give Information'],,Give Information
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,2,listener,Our brains are able to rewire themselves.,,,,,
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,2,listener,This allows us to change habits we don't want as well as statements we say to ourselves that are no longer serving us.,,,,,
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,2,listener,The next step is to select an ally.,,,,,
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,2,listener,"Someone who is or has been in your corner, someone who is always rooting for you.",,,,,
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,2,listener,"If you don't have someone like that, that's ok - a lot of us don't - you can just make someone up.",,,,,
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,2,listener,Close your eyes and try to describe that person in great detail from the way they look to the way they act to the way they sound.,,,,,
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,2,listener,"Now, pick a phrase you would like that person to say to you whenever you start to think that you're worthless.",,,,,
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,2,listener,"Something that will help you feel better about yourself - a characteristic, a skill, a great joke you tell, a physical attribute.",['Give Information'],,['Give Information'],,Give Information
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,2,listener,"This also takes time and may involve you asking for help from someone who knows you.Once you have all of that together - the noticing, answers from where these feelings and statement(s) come from, your ally, your new statement, you can try to put it altogether.",,,,,
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,2,listener,"When the feelings come up, notice what is bringing them up and then call upon your ally to try to change the statement in your head from the self-defeating one to the more positive, uplifting one.",,,,,
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,2,listener,I hope this was helpful.,,Support,['Support'],,Support
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,2,listener,"Again, I do this with my clients over quite a few weeks, if not months, and I am there with them the whole time.",,,,,
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,2,listener,It is quite an involved process and can bring up a lot of very difficult feeling/memories.,,,,,
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,2,listener,"If at any point you find it too hard to go at alone, please seek help.",,Advise without Permission,['Advise without Permission'],,Advise without Permission
counsel_chat | 21,Can I change my feeling of being worthless to everyone?,2,2,listener,"If you take anything away from this reply, know that there is help out there and that it is possible to change the way you feel.",,,,,
counsel_chat | 25,Do I have too many issues for counseling?,2,1,speaker,"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?",,,,,
counsel_chat | 25,Do I have too many issues for counseling?,2,2,listener,You have been through so much and it sounds like you have a lot of things that have complied over the years.,"['Simple Reflection', 'Complex Reflection']",Simple Reflection,"['Simple Reflection', 'Complex Reflection']",Simple Reflection,Simple Reflection
counsel_chat | 25,Do I have too many issues for counseling?,2,2,listener,"Regardless of the struggles you have been through, you do not have too many issues for counseling.",['Affirm'],Affirm,['Affirm'],Affirm,Affirm
counsel_chat | 25,Do I have too many issues for counseling?,2,2,listener,"Many times when someone starts out their counseling and healing journey, there are multiple things they would like to address and work on.",,Give Information,['Give Information'],,Give Information
counsel_chat | 25,Do I have too many issues for counseling?,2,2,listener,"If you decide to start counseling, you and your therapist can decide collaboratively what you would like to process and work on first.","['Give Information', 'Advise with Permission', 'Advise without Permission']",Give Information,"['Give Information', 'Advise with Permission', 'Advise without Permission']",Give Information,Give Information
counsel_chat | 25,Do I have too many issues for counseling?,2,2,listener,"Be sure to express to your counselor if any of the above experiences you've been through is causing a lot of distress , as many times the first things addressed are the ones that are presently affecting your life or you emotionally.",,Advise without Permission,['Advise without Permission'],,Advise without Permission
counsel_chat | 25,Do I have too many issues for counseling?,2,2,listener,"Often times when we experience negative situations in our life , but do not address them, they bottle up inside us and can manifest in other ways, such as depression or even physical symptoms like IBS or neck pain.",,Give Information,['Give Information'],,Give Information
counsel_chat | 25,Do I have too many issues for counseling?,2,2,listener,Counseling can give these bottled up emotions and situations a release.,,Give Information,['Give Information'],,Give Information
counsel_chat | 25,Do I have too many issues for counseling?,2,2,listener,"Given the situation you shared, not only do I not think that you have too many issues for counseling, but believe that you will be a great candidate and can get a lot from it.",['Affirm'],Affirm,['Affirm'],Affirm,Affirm
counsel_chat | 26,Do I have too many issues for counseling?,2,1,speaker,"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?",,,,,
counsel_chat | 26,Do I have too many issues for counseling?,2,2,listener,Absolutely not.,,Affirm,['Affirm'],,Affirm
counsel_chat | 26,Do I have too many issues for counseling?,2,2,listener,I strongly recommending working on one issue/need at a time.,,Advise without Permission,['Advise without Permission'],,Advise without Permission
counsel_chat | 26,Do I have too many issues for counseling?,2,2,listener,In therapy you will set smart goals and objectives that will help you reach your goals.,,Give Information,['Give Information'],,Give Information
counsel_chat | 26,Do I have too many issues for counseling?,2,2,listener,I see you as a survivor and not a victim.,,Affirm,['Affirm'],,Affirm
counsel_chat | 26,Do I have too many issues for counseling?,2,2,listener,Best wishes to you.,,Support,['Support'],,Support
counsel_chat | 27,Do I have too many issues for counseling?,2,1,speaker,"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?",,,,,
counsel_chat | 27,Do I have too many issues for counseling?,2,2,listener,Absolutely not!,,Affirm,['Affirm'],,Affirm
counsel_chat | 27,Do I have too many issues for counseling?,2,2,listener,"In fact, most people have many issues,  A lot lot of the issues you are describing commonly go hand in hand ( in ""therapy speak"" we call it co-morbid conditions)I would venture that most of the feelings you are struggling with stem from your early trauma.",,Give Information,['Give Information'],,Give Information
counsel_chat | 27,Do I have too many issues for counseling?,2,2,listener,You would benifit tremendously from counseling!,,Give Information,['Give Information'],,Give Information
counsel_chat | 27,Do I have too many issues for counseling?,2,2,listener,A good therapist will develope a treatment plan that addresses all of your needs.,['Give Information'],Advise without Permission,"['Give Information', 'Advise without Permission']",,
counsel_chat | 27,Do I have too many issues for counseling?,2,2,listener,With help you could definitely live a happy life without all of your anxiety and depression getting in the way!,,Give Information,['Give Information'],,Give Information
counsel_chat | 28,Do I have too many issues for counseling?,2,1,speaker,"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?",,,,,
counsel_chat | 28,Do I have too many issues for counseling?,2,2,listener,This is a great question!,['Affirm'],Affirm,['Affirm'],Affirm,Affirm
counsel_chat | 28,Do I have too many issues for counseling?,2,2,listener,I personally don't believe that any client could ever have too many issues for counseling.,['Affirm'],Affirm,['Affirm'],Affirm,Affirm
counsel_chat | 28,Do I have too many issues for counseling?,2,2,listener,"In fact, that type of thinking may be stopping you from seeking counseling, so it may be hindering you from getting the help you need.",,Give Information,['Give Information'],,Give Information
counsel_chat | 28,Do I have too many issues for counseling?,2,2,listener,"In fact, all of what you described points to the importance of you seeking help in order to cope with the many challenges in your life.",,Advise without Permission,['Advise without Permission'],,Advise without Permission
counsel_chat | 28,Do I have too many issues for counseling?,2,2,listener,"If you seek counseling, it will be important for you to understand that you may need to remain in counseling for a sustained period of time in order to work through each of these issues.",,Give Information,['Give Information'],,Give Information
counsel_chat | 28,Do I have too many issues for counseling?,2,2,listener,All of these issues won't be able to be solved right away or in a brief period of time.,,,,,
counsel_chat | 28,Do I have too many issues for counseling?,2,2,listener,"Counseling will take commitment and hard work, but it is possible for you to recover and heal from all of the issues you described.Many clients come into counseling with numerous issues rather than just one particular thing.",['Give Information'],,['Give Information'],,Give Information
counsel_chat | 28,Do I have too many issues for counseling?,2,2,listener,"Most of the time, the issues relate to and exacerbate each other.",,,,,
counsel_chat | 28,Do I have too many issues for counseling?,2,2,listener,"We call these ""comorbid"" conditions, which means that two or more mental health problems exist at one time.",,,,,
counsel_chat | 28,Do I have too many issues for counseling?,2,2,listener,"A lot of the times, when you start to work on one issue, the other issues get better as a result.I encourage you to find a professional therapist that can help you learn how to cope with all of the mental health difficulties that you described.","['Give Information', 'Advise without Permission']",Advise without Permission,"['Give Information', 'Advise without Permission']",Advise without Permission,Advise without Permission
counsel_chat | 28,Do I have too many issues for counseling?,2,2,listener,You deserve the help just as much as anyone else.,,Support,['Support'],,Support
counsel_chat | 29,Do I have too many issues for counseling?,2,1,speaker,"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?",,,,,
counsel_chat | 29,Do I have too many issues for counseling?,2,2,listener,Hi!,,Other,['Other'],,Other
counsel_chat | 29,Do I have too many issues for counseling?,2,2,listener,Many people begin their therapeutic journey with histories just like yours and experience transformative shifts in their quality of life.,,Give Information,['Give Information'],,Give Information
counsel_chat | 29,Do I have too many issues for counseling?,2,2,listener,I hope you are able to find a counselor you feel comfortable working with and do the work if you feel called.,"['Support', 'Advise without Permission']",Advise without Permission,"['Support', 'Advise without Permission']",Advise without Permission,Advise without Permission
counsel_chat | 29,Do I have too many issues for counseling?,2,2,listener,Best of luck on your journey!,,Support,['Support'],,Support
counsel_chat | 31,Do I have too many issues for counseling?,2,1,speaker,"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?",,,,,
counsel_chat | 31,Do I have too many issues for counseling?,2,2,listener,Most clients have many issues that need working out.,,,,,
counsel_chat | 31,Do I have too many issues for counseling?,2,2,listener,It is normal to have many events in our lives that trouble us and remain with us without counseling help.,,,,,
counsel_chat | 31,Do I have too many issues for counseling?,2,2,listener,"The right type of counsellor will help you focus on the main and most troubling issue you have first and work your way through all that you are managing step by step, goal by goal.",,,,,
counsel_chat | 31,Do I have too many issues for counseling?,2,2,listener,"Sometimes, working on  one issue helps to bring other issues to light in the context of your main problem.",,,,,
counsel_chat | 31,Do I have too many issues for counseling?,2,2,listener,This can help you resolve some other issues that are connected.,,Advise without Permission,['Advise without Permission'],,Advise without Permission
counsel_chat | 31,Do I have too many issues for counseling?,2,2,listener,"Look for someone with experience and specialty in your most pressing issue...even though you have had breast cancer, you may find that grief from your past is more troubling.",,,,,
counsel_chat | 31,Do I have too many issues for counseling?,2,2,listener,Then you would look for a bereavement or grief specialist.,,,,,
counsel_chat | 34,Do I have too many issues for counseling?,2,1,speaker,"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?",,,,,
counsel_chat | 34,Do I have too many issues for counseling?,2,2,listener,"Hi, people who have only a few issues and people who have several issues are perfect for therapy.",,,,,
counsel_chat | 34,Do I have too many issues for counseling?,2,2,listener,There is no such thing as having too many problems for therapy.,,Affirm,['Affirm'],,Affirm
counsel_chat | 34,Do I have too many issues for counseling?,2,2,listener,"Therapy is great because it will help you process all that you are going through, heal from past and present pain, and gain clarity.",,Give Information,['Give Information'],,Give Information
counsel_chat | 35,Do I have too many issues for counseling?,2,1,speaker,"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?",,,,,
counsel_chat | 35,Do I have too many issues for counseling?,2,2,listener,"Yeah, you might :)At least, it certainly feels like that, I bet...Not to mention that most counselors out there might generally feel overwhelmed with a ""case"" with so many problems.",,Give Information,['Give Information'],,Give Information
